,subject_id,Fz,Mx,My,CoPx,CoPy,Second
0,1,641.87710365,-50.68621627,9.029311090000000,-0.014067094,-0.078965638,0.0
1,1,641.8853922700000,-52.69094549,10.085230160000000,-0.015712013,-0.0820886189999999,1.0
2,1,641.88699308,-48.505348378,15.14987997,-0.0236024099999999,-0.075566475,2.0
3,1,641.80792487,-54.736992684,16.96214096,-0.026428375,-0.085286293,3.0
4,1,641.92964598,-54.23154238,8.230100850000000,-0.012821345,-0.084482527,4.0
5,1,641.88929704,-48.67933593,6.0490134,-0.0094237319999999,-0.075837748,5.0
6,1,641.90961139,-46.588750909000000,13.16534271,-0.020509647,-0.072577972,6.0
7,1,641.8782692900000,-52.24787676,12.0511736,-0.018774917,-0.081398454,7.0
8,1,641.86295408,-45.346888054,10.4048826,-0.016210401,-0.070648998,8.0
9,1,642.0338064,-44.596375219,9.92260439,-0.015455157,-0.06946149,9.0
10,1,641.94639081,-48.71751653,8.74732049,-0.0136263539999999,-0.075890569,10.0
11,1,641.82004782,-44.994637479,9.48837675,-0.014783715,-0.0701046769999999,11.0
12,1,642.0103266700000,-47.35959461,9.68659978,-0.0150878879999999,-0.073768514,12.0
13,1,641.8866282600000,-50.10435046,8.13095469,-0.012667089,-0.078058123,13.0
14,1,642.00426514,-46.490090147,10.21739034,-0.015914735,-0.07241454,14.0
15,1,641.92526039,-47.229411579,10.21873102,-0.015918869,-0.073574725,15.0
16,1,642.00046736,-41.59828694,9.81288991,-0.015284777,-0.064794786,16.0
17,1,642.0224463100000,-46.464914069000000,9.92137018,-0.01545336,-0.072373076,17.0
18,1,641.88523003,-47.168138664,9.54853839,-0.014875851,-0.073484008,18.0
19,1,641.9716012,-45.26477844,9.73679324,-0.0151670719999999,-0.070509128,19.0
20,1,641.94319924,-46.106874822000000,9.21680869,-0.0143577499999999,-0.071824193,20.0
21,1,641.85650504,-45.703699113,9.19113349,-0.014319683,-0.071205827,21.0
22,1,642.05874682,-46.61819483,9.58842468,-0.014933821,-0.0726073659999999,22.0
23,1,641.92452656,-46.718753612,9.4333187,-0.014695494,-0.072779332,23.0
24,1,641.93224251,-43.34737917,9.17440095,-0.01429188,-0.067526954,24.0
25,1,641.9214141800000,-45.011545604,9.74556347,-0.015181914,-0.070120349,25.0
26,1,641.9405644800000,-47.061408643,9.68648915,-0.015089574,-0.073311539,26.0
27,1,642.0093441300000,-51.170588730000000,9.99765704,-0.015572474,-0.079703901,27.0
28,1,641.9009305200000,-51.58470178,9.34489316,-0.014558244,-0.080362517,28.0
29,1,641.8872914900000,-47.557459607,9.26255875,-0.014430117,-0.074090328,29.0
30,1,642.0310683500000,-48.05276126,8.98088065,-0.013988025,-0.07484505,30.0
31,1,641.91883712,-50.43593803,9.01742813,-0.014047673,-0.078570666,31.0
32,1,641.9212247300000,-49.03732997,9.77870156,-0.015233405,-0.076391604,32.0
33,1,641.98296886,-49.67101912,9.18999638,-0.014315134,-0.0773714619999999,33.0
34,1,641.9852102900000,-46.503603615,8.825426740000000,-0.0137470859999999,-0.072437637,34.0
35,1,641.90599395,-44.460539962000000,8.68037736,-0.013522836,-0.069263621,35.0
36,1,642.04621645,-46.439662696,9.17594643,-0.014291755,-0.072330792,36.0
37,1,641.90490471,-47.07094922,9.15712331,-0.014265547,-0.0733301859999999,37.0
38,1,641.94892069,-47.92852453,9.56683318,-0.014902745,-0.074661004,38.0
39,1,641.96093249,-49.41285814,9.42034608,-0.014674382,-0.076971894,39.0
40,1,641.97208966,-46.62353715,9.55891638,-0.014889818,-0.072625626,40.0
41,1,641.9036514400000,-49.10450538,9.67346535,-0.015069884,-0.076498081,41.0
42,1,641.93819907,-50.96854101,9.22827468,-0.014375681,-0.079398443,42.0
43,1,641.9496561,-47.669564576,9.5616398,-0.01489467,-0.074257676,43.0
44,1,641.82271534,-47.44037038,8.88133096,-0.013836081,-0.073913567,44.0
45,1,642.3018581270000,-36.291280915,-0.11953202,0.000184694,-0.05649573,45.0
46,1,641.9609166690000,-34.49161314,8.835204410000000,-0.013761674,-0.053725297,46.0
47,1,642.01596352,-38.608540780000000,8.47453125,-0.013200047,-0.060136175,47.0
48,1,641.92967357,-39.98465117,9.4870409,-0.0147787559999999,-0.062288589,48.0
49,1,642.07419912,-42.052642598,9.13673098,-0.014230223,-0.065495098,49.0
50,1,641.9809198200000,-44.94955829800000,9.977299360000000,-0.015541616,-0.0700172759999999,50.0
51,1,641.97706612,-45.441714517,8.822574200000000,-0.01374269,-0.070784644,51.0
52,1,642.06393157,-46.100337785,10.44763885,-0.016271939,-0.071800702,52.0
53,1,641.8997302500000,-38.28222868,9.27926283,-0.014455816,-0.059639279,53.0
54,1,642.03221789,-42.562617637,10.05596376,-0.015662426,-0.066294287,54.0
55,1,642.01882606,-49.57969822,11.31350577,-0.017621961,-0.077225355,55.0
56,1,641.79112824,-45.930314827,10.77821636,-0.016794026,-0.071566176,56.0
57,1,642.0301506800000,-44.928706307,10.64837017,-0.0165858649999999,-0.069980187,57.0
58,1,642.00718052,-48.620904917,12.13104637,-0.018895555,-0.075732732,58.0
59,1,641.8613907100000,-48.271916908,11.30570793,-0.017614014,-0.075206464,59.0
60,2,958.73102199,-13.66493577,3.70690109,-0.00386645,-0.0142530219999999,0.0
61,2,958.59154156,-14.06512637,3.54010679,-0.003693017,-0.01467284,1.0
62,2,958.60908619,-11.3670392,3.33961268,-0.00348381,-0.011857957,2.0
63,2,958.54798727,-10.75113927,2.58682826,-0.002698702,-0.011216354,3.0
64,2,958.62136085,-12.44898041,2.95572382,-0.003083286,-0.012986373,4.0
65,2,958.70303094,-9.84399793,2.71457468,-0.002831516,-0.010267893,5.0
66,2,958.54196405,-10.64223715,2.89810275,-0.0030234299999999,-0.011102501,6.0
67,2,958.5160375,-11.41098755,2.57178029,-0.002683066,-0.0119047029999999,7.0
68,2,958.61252319,-9.30771263,2.4299094600000000,-0.002534817,-0.009709624,8.0
69,2,958.63010073,-12.05166251,2.41283293,-0.002516964,-0.012571708,9.0
70,2,958.52392853,-10.87459599,3.0592720600000000,-0.003191691,-0.011345367,10.0
71,2,958.604066477,-7.69026687,1.90558643,-0.001987888,-0.008022449,11.0
72,2,958.57938606,-11.36534597,3.48825149,-0.0036389649999999,-0.011856509,12.0
73,2,958.56611354,-9.02450514,3.21517296,-0.003354195,-0.009414702,13.0
74,2,958.51998802,-11.96067385,1.75975189,-0.001835919,-0.012478378,14.0
75,2,958.57570712,-12.96604696,1.7773125,-0.001854318,-0.013526359,15.0
76,2,958.56076485,-9.47068886,3.25722191,-0.003397943,-0.009880525,16.0
77,2,958.563755949,-7.24507517,1.77056766,-0.001847142,-0.007558576,17.0
78,2,958.58530783,-9.93759839,1.5032770800000000,-0.00156823,-0.0103671659999999,18.0
79,2,958.54304206,-11.80023276,2.34291948,-0.002444273,-0.012310972,19.0
80,2,958.5183459,-14.09134588,2.25207766,-0.002349578,-0.0147011939999999,20.0
81,2,958.55737755,-11.57203437,1.54067831,-0.001607317,-0.012072424,21.0
82,2,958.64422855,-11.91402573,2.16579729,-0.002259211,-0.012428025,22.0
83,2,958.52779775,-12.13032775,1.24221626,-0.001295942,-0.01265524,23.0
84,2,958.530669696,-8.93261154,1.39288597,-0.001453127,-0.009319341,24.0
85,2,958.66250707,-12.67063184,1.14311765,-0.001192381,-0.01321698,25.0
86,2,958.48547105,-10.37524797,1.90351134,-0.00198592,-0.010824937,26.0
87,2,958.48705037,-13.46107198,1.6533088300000000,-0.001724927,-0.014044155,27.0
88,2,958.56109668,-14.32854797,1.78403674,-0.001861148,-0.0149480869999999,28.0
89,2,958.557995909,-12.11330737,1.81001481,-0.001888265,-0.012637114,29.0
90,2,958.540904724,-9.51683444,2.76954859,-0.002889355,-0.0099285479999999,30.0
91,2,958.48862661,-9.31320454,2.71607861,-0.002833697,-0.009716492,31.0
92,2,958.692832493,-11.33671048,2.17974144,-0.002273611,-0.011825125,32.0
93,2,958.442183937,-9.70737328,2.7614731000000000,-0.002881189,-0.010128814,33.0
94,2,958.419646746,-11.21359442,2.27721991,-0.002376002,-0.011700334,34.0
95,2,958.572645651,-10.41972778,2.96191704,-0.003089911,-0.0108700569999999,35.0
96,2,958.684451018,-9.37188594,1.44785965,-0.001510299,-0.0097759129999999,36.0
97,2,958.417694288,-9.50224236,5.59254433,-0.005841686,-0.009915804,37.0
98,2,958.553907595,-15.9008026,3.3601425200000000,-0.003504929,-0.016587601,38.0
99,2,958.527322292,-11.70974245,2.41925361,-0.002524008,-0.012216945,39.0
100,2,958.54301849,-11.61181064,1.92510947,-0.002008381,-0.012114136,40.0
101,2,958.440174868,-10.16646256,1.32301166,-0.001380224,-0.01060721,41.0
102,2,958.570629343,-10.3767817,1.12901342,-0.001178034,-0.010825741,42.0
103,2,958.55912173,-11.49787994,0.42814002,-0.000446696,-0.0119951779999999,43.0
104,2,958.51960902,-11.21218626,1.4525781400000000,-0.001515447,-0.011697611,44.0
105,2,958.50994609,-9.67895956,0.7789580700000000,-0.00081264,-0.0100980799999999,45.0
106,2,958.55745953,-10.92756903,1.53976265,-0.001606331,-0.011400209,46.0
107,2,958.58080609,-9.45732003,1.45986987,-0.001522919,-0.00986581,47.0
108,2,958.49443819,-10.47702349,2.24283822,-0.002339979,-0.010930958,48.0
109,2,958.5178809,-9.07949908,1.09178244,-0.001139016,-0.009472755,49.0
110,2,958.61064341,-10.30408738,0.65119102,-0.000679268,-0.010749168,50.0
111,2,958.48959069,-9.54404903,1.8914022,-0.001973344,-0.009957594,51.0
112,2,958.54452917,-14.81032079,1.68384132,-0.0017566349999999,-0.015450922,52.0
113,2,958.36888358,-12.0985693,2.25586952,-0.002353868,-0.012624489,53.0
114,2,958.53212866,-13.03225174,1.86818072,-0.001949013,-0.013596316,54.0
115,2,958.33206438,-12.57879599,2.27046748,-0.002369144,-0.013125824,55.0
